Valor (UF),Dormitorios,Banos,sup. construida,sup. Terreno,estacion metro
12.94,3,1,57,,561
12.36,3,1,50,,613
11.77,3,2,,,215
9.07,2,1,48,48,"2,844"
13.02,3,1,57,57,561
5.92,3,1,,,"2,813"
13.89,3,2,80,86,685
13.89,3,2,,,373
12.7,3,1,,,561
11.91,3,1,55,,"5,064"
10.72,3,1,,,215
17.58,3,2,85,230,"2,987"
15.62,3,2,100,200,387
9.81,2,1,55,55,"5,499"
18.44,3,2,84,278,"6,169"
13.73,3,2,54.4,162,724
17.65,3,3,90,130,"3,526"
16.87,4,3,140,250,"1,294"
13.73,3,2,70,90,"3,122"
19.61,6,3,190,250,499
14.91,3,2,95,220,"3,447"
15.3,3,3,82,119,"3,008"
18.14,3,3,90,145,"1,765"
19.72,3,3,80,130,"1,765"
14.2,3,1,95,230,"2,248"
18.14,5,3,95,116,"1,765"
11.44,2,1,43,,"5,064"
15.78,3,3,80,130,"3,351"
11.83,3,1,70,120,"1,734"
10.65,3,1,,,568
13.81,3,1,80,100,"1,508"
16.37,3,3,80,130,"3,526"
14.59,3,2,70,185,"3,324"
14.2,3,2,76,146,"1,344"
15.78,3,2,73,126,"2,927"
16.96,3,3,84,,"4,596"
15.78,3,3,82,150,"3,526"
16.57,3,3,92,170,"1,174"
13.81,3,3,75,108,724
19.05,3,3,92,280,724
10.72,2,1,50,180,"2,114"
17.86,4,3,94,180,"4,596"
11.91,3,2,80,170,"1,888"
9.92,2,1,,,"1,853"
11.11,2,1,65,70,"4,961"
10.32,3,2,66,,"1,821"
17.07,3,1,80,,379
13.89,4,2,100,130,"1,156"
7.81,3,1,60,,"3,129"
11.04,2,1,,,"5,017"
5.16,2,1,40,40,"4,747"
11.72,2,1,48,102,"5,454"
13.73,3,2,100,120,"5,176"
9.81,3,1,70,70,"4,300"
10.55,2,2,36,,284
10.16,1,1,33,33,82
8.2,1,1,33,,202
14.06,2,2,55,,282
8.2,1,1,33,33,257
7.03,1,1,30,30,359
8.63,1,1,,,150
9.41,2,1,,,91
10.98,2,1,42.4,42,257
7.06,1,1,25,,91
10.59,2,1,37,39,91
11.18,2,1,44,,202
8.24,1,1,30,,359
14.12,3,2,60,60,"1,243"
9.02,1,1,83,,59
11.77,2,2,66,,336
14.51,2,2,,,93
11.77,2,1,46,,121
11.38,2,1,45,47,93
12.55,2,2,50,50,202
12.56,3,2,60,,353
12.56,3,2,60,,353
7.65,1,1,,,91
10.59,3,1,47,47,284
10.98,2,1,45,,150
10.98,2,1,,,150
6.28,1,1,23,,257
10.59,2,1,45,45,257
8.24,1,1,32,,202
12.94,3,1,60,63,284
11.38,1,1,47,47,121
9.41,2,1,38,38,91
12.55,3,2,80,80,381
8.94,2,1,38,,91
8.63,1,1,30,30,257
14.51,2,2,50.3,,150
12.16,2,1,45,45,121
13.73,2,2,52,54,202
16.47,3,2,80,,548
6.86,1,1,,,359
15.69,3,2,90,90,471
11.77,2,2,50,50,282
10.98,2,1,38,,91
11.77,2,2,48,,282
11.77,3,1,45,45,"1,322"
7.84,1,1,,,91
12.94,1,1,47,47,121
10.2,2,1,40,40,359
9.02,1,1,35,35,121
13.73,3,1,60,63,284
8.63,1,1,30,32,257
7.65,1,1,31,,91
13.34,2,2,50,,93
6.67,1,1,21,21,257
8.24,1,1,35,35,118
9.02,1,1,35,,121
11.38,2,2,44,44,379
7.84,1,1,27,27,202
7.45,1,1,,,359
9.81,2,2,45,45,267
9.86,1,1,35,,257
9.86,2,1,38,38,91
13.81,3,2,63,,"1,047"
9.86,2,2,54,,679
11.64,2,1,42.4,42,257
8.68,1,1,35,35,82
8.68,1,1,34,,121
7.89,1,1,34,,952
10.26,1,1,35,35,82
14.59,2,2,55,55,121
9.47,1,1,34,36,93
7.3,1,1,30,30,91
8.68,1,1,33,,91
11.83,2,1,47,,257
10.73,2,1,46,,93
8.68,1,1,33,33,91
9.47,1,1,29,31,257
11.83,2,1,,,"1,243"
11.44,2,1,,,91
7.89,1,1,31,,257
13.81,2,2,56,56,121
15.78,3,2,90,90,559
14.2,3,2,70,70,628
11.83,2,1,47,49,359
11.44,2,1,40,40,91
6.9,1,1,27,27,91
11.83,3,1,67,67,25
6.35,1,1,21,,359
11.91,3,2,70,,359
7.94,1,1,32,,257
12.7,2,2,56,56,121
9.52,1,1,36,,121
10.72,2,1,47,,121
9.92,2,1,,,261
10.77,2,1,47,,93
9.92,1,1,40,,230
9.92,2,1,40,40,91
10.72,1,1,35,40,230
9.13,2,1,,,91
15.87,3,2,90,,559
7.34,1,1,,,"1,040"
9.13,1,1,35,35,"1,040"
11.11,2,1,,,359
13.89,2,2,57,,"1,049"
13.89,3,2,67,,"1,243"
11.91,2,2,,,"1,203"
7.45,2,1,54,80,253
12.55,3,2,80,164,597
10.16,3,1,55,,"1,370"
11.72,2,1,50,50,698
10.16,2,1,50,50,581
10.2,2,2,,,"1,845"
11.38,3,1,48,,"1,370"
9.02,3,1,,,"1,322"
10.59,3,1,52,52,"1,453"
7.45,1,1,,,202
13.73,3,1,56,,581
11.38,3,1,60,60,581
9.81,3,1,56,60,"1,447"
12.55,3,1,,,"2,165"
11.38,3,1,60,60,465
10.98,3,1,50,50,"1,370"
10.59,3,1,50,50,"1,370"
11.38,2,2,75,,835
11.04,3,1,42,,"1,322"
9.86,3,1,48,,465
5.92,1,1,,,"2,215"
10.65,3,1,58,,"1,370"
10.65,3,1,52,52,452
12.62,3,1,,,"2,599"
11.04,3,1,52,,"1,322"
10.65,3,1,50,50,"1,322"
11.04,3,1,50,,"1,370"
9.86,2,1,40,40,452
11.04,3,1,50,52,921
9.47,2,1,,,452
7.89,1,1,,,452
8.68,3,1,55,55,452
11.44,3,2,,50,"1,370"
11.44,3,1,,,"1,370"
11.83,3,1,50,,"1,370"
11.11,3,1,58,58,"1,322"
11.11,2,1,50,,698
10.72,2,1,56,56,581
11.11,3,1,,,"1,322"
12.7,2,1,55,55,351
10.32,3,1,46,46,581
11.51,3,1,62,,"1,476"
11.51,3,1,52,52,452
9.92,3,1,45,45,"2,951"
11.31,3,1,60,60,"1,322"
9.92,2,1,45,45,"2,951"
9.92,2,1,37,,"2,951"
11.11,3,1,50,50,"1,407"
8.73,1,1,30,30,95
11.91,3,1,62,62,"1,476"
11.51,3,1,60,60,"1,322"
9.92,2,1,50,50,581
9.13,1,1,,,95
